uniprot_id,pdb_id,accession,all_goa_terms,chain_id
IRIS_CATRO,5COA,K7WDL7,"GO:0005829, GO:0016099, GO:0016628, GO:0042802, GO:0042803",A
IRK10_PARME,1XL6,D9N164,GO:0042802,A
IRPL1_HUMAN,1T3G,Q9NZN1,"GO:0005886, GO:0045920, GO:0098978, GO:0099175, GO:0099545, GO:1905606",A
IRPL1_MOUSE,4YH6,P59823,"GO:0005102, GO:0007157, GO:0009986, GO:0030182, GO:0030425, GO:0050775, GO:0051965, GO:0061003, GO:0097105, GO:0099560",A
IRPL2_HUMAN,7FD3,Q9NP60,"GO:0004908, GO:0007417, GO:0098978, GO:1905606",A
IRS1_HUMAN,1IRS,P35568,"GO:0001784, GO:0005158, GO:0005159, GO:0005654, GO:0005829, GO:0005886, GO:0005901, GO:0007165, GO:0008286, GO:0010907, GO:0019221, GO:0030159, GO:0032000, GO:0032868, GO:0032869, GO:0035591, GO:0042593, GO:0043231, GO:0043491, GO:0043548, GO:0045725, GO:0046326, GO:0046628, GO:0046676, GO:0048009",A
IRS1_MOUSE,5AXI,P35569,"GO:0002053, GO:0005068, GO:0005634, GO:0005737, GO:0005829, GO:0005886, GO:0008286, GO:0010468, GO:0010631, GO:0010634, GO:0016042, GO:0016477, GO:0019901, GO:0030335, GO:0030674, GO:0030879, GO:0032869, GO:0034504, GO:0036064, GO:0043548, GO:0048009, GO:0051897, GO:0071398, GO:0141038",E
IRS1_RAT,5WRK,P35570,"GO:0005068, GO:0005080, GO:0005158, GO:0005159, GO:0005899, GO:0008286, GO:0014823, GO:0019901, GO:0019904, GO:0031000, GO:0042169, GO:0042327, GO:0043548, GO:0044877, GO:0045471, GO:0046627, GO:0046628, GO:0046676, GO:0051897, GO:0070094, GO:0071478, GO:0090275, GO:1904385, GO:1990416",P
IRTA_MYCTU,7WIU,P9WQJ9,"GO:0005886, GO:0006879, GO:0010106, GO:0015343, GO:0033214, GO:0044847, GO:0071949",A
ISAHY_ROSAI,4J0N,A0NLY7,"GO:0016812, GO:0030145",A
ISCA_ECOLI,1R94,P0AAC8,"GO:0005829, GO:0008198, GO:0016226, GO:0034986, GO:0051537, GO:1990230",A
ISCR_ECOLI,4HF0,P0AGK8,"GO:0003700, GO:0005829, GO:0006355, GO:0042802",A
ISCS_ECOLI,1P3W,P0A6B7,"GO:0002143, GO:0002937, GO:0005829, GO:0009000, GO:0016226, GO:0016261, GO:0018131, GO:0019448, GO:0030170, GO:0031071, GO:0072348, GO:0097163, GO:1990221, GO:1990228, GO:1990329",A
ISCSL_MYCTU,4ISY,P9WQ71,"GO:0016226, GO:0031071",A
ISCU_ECOLI,2KQK,P0ACD4,"GO:0005507, GO:0005829, GO:0008270, GO:0016226, GO:0042802, GO:0051537, GO:0051539",A
ISCU_HUMAN,5WKP,Q9H1K1,"GO:0005506, GO:0005634, GO:0005737, GO:0005739, GO:0005829, GO:0006879, GO:0008198, GO:0008270, GO:0016226, GO:0042803, GO:0044571, GO:0044572, GO:0060090, GO:0099128, GO:0140132, GO:1902958, GO:1904439",D
ISCU_MOUSE,1WFZ,Q9D7P6,"GO:0005739, GO:0042803, GO:0044572, GO:0099128",A
ISCX_ECOLI,1UJ8,P0C0L9,"GO:0004857, GO:0005506, GO:0005829, GO:0008198, GO:0016226",A
ISG15_HUMAN,1Z2M,P05161,"GO:0005178, GO:0005576, GO:0005654, GO:0005829, GO:0007229, GO:0009615, GO:0031386, GO:0031397, GO:0032020, GO:0032461, GO:0032649, GO:0032728, GO:0032729, GO:0032733, GO:0034340, GO:0042742, GO:0045071, GO:0045087, GO:0051607, GO:0060339, GO:0070585",A
ISG15_MOUSE,5CHF,Q64339,"GO:0009617, GO:0019941, GO:0030501, GO:0031386, GO:0032020, GO:0042742, GO:0045648, GO:0051607",A
ISG20_HUMAN,1WLJ,Q96AZ6,"GO:0000175, GO:0004527, GO:0005634, GO:0005654, GO:0005730, GO:0005737, GO:0006308, GO:0006401, GO:0008310, GO:0009615, GO:0015030, GO:0016605, GO:0030619, GO:0030620, GO:0034511, GO:0045071, GO:0051607",A
ISK1_HUMAN,1CGI,P00995,GO:0004866,I
ISK2_HUMAN,2JXD,P20155,"GO:0001669, GO:0004866, GO:0007286",A
ISK5_HUMAN,1H0Z,Q9NQ38,"GO:0004867, GO:0005576, GO:0005737, GO:0005783, GO:0005789, GO:0005829, GO:0005938, GO:0009913, GO:0016525, GO:0030198, GO:0030855, GO:0035315, GO:0043231, GO:0045580, GO:0048471, GO:0050777, GO:0051884, GO:0097209",A
ISK6_HUMAN,2N52,Q6UWN8,GO:0005576,A
ISL2_MOUSE,3MMK,Q9CXV0,"GO:0005634, GO:0021520, GO:0021524, GO:0030182, GO:0031290, GO:0045665, GO:0048663",A
ISN1_PLAF7,6RMD,A0A144A134,"GO:0000287, GO:0005524, GO:0005737, GO:0006204, GO:0008253, GO:0050483",A
ISN1_YEAST,8J6H,Q99312,"GO:0006190, GO:0008253, GO:0050483, GO:0071590, GO:0071592",A
ISOA1_ORYSJ,9J60,D0TZF0,"GO:0005983, GO:0010021, GO:0019156, GO:0043033",A
ISPA_ECOLI,1RQI,P22939,"GO:0004161, GO:0004337, GO:0005829, GO:0033384, GO:0045337",A
ISPB_ECOLI,5ZE6,P0AD57,"GO:0004659, GO:0005829, GO:0006744, GO:0016094, GO:0042802, GO:0042803",A
ISPD_ARATH,1W77,P69834,"GO:0019288, GO:0050518",A
ISPD_ECOLI,1H3M,Q46893,"GO:0000287, GO:0005829, GO:0042802, GO:0050518",A
ISPD_HUMAN,4CVH,A4D126,"GO:0005829, GO:0035269, GO:0042803, GO:0047349, GO:0070567",A
ISPD_MYCTU,2XWN,P9WKG9,"GO:0000287, GO:0002135, GO:0008270, GO:0030145, GO:0050518, GO:0051484",A
ISPE_ECOLI,2WW4,P62615,"GO:0005524, GO:0050515",A
ISPF_ARATH,2PMP,Q9CAK8,"GO:0015995, GO:0016117",A
ISPF_ECOLI,1GX1,P62617,"GO:0006744, GO:0008270, GO:0008685, GO:0030145, GO:0042802, GO:0046872",A
ISPF_PLAF7,4C81,P62368,GO:0020011,A
ISPH_ECOLI,3F7T,P62623,"GO:0005829, GO:0019288, GO:0051538, GO:0051745",A
ISPH_PLAF7,4N7B,Q8I295,"GO:0010322, GO:0019288, GO:0020011, GO:0051745",A
IST1_HUMAN,3FRR,P53990,"GO:0000785, GO:0005576, GO:0005793, GO:0005813, GO:0005829, GO:0008104, GO:0019904, GO:0030496, GO:0035578, GO:0042802, GO:0043231, GO:0044877, GO:0045184, GO:0045862, GO:0051301, GO:0061640, GO:0061952, GO:0090541, GO:0090543",A
IST1_YEAST,3GGY,P53843,"GO:0005737, GO:0005768, GO:0032511, GO:0042030, GO:0099638",A
IST2_YEAST,9HHE,P38250,"GO:0005886, GO:0008289, GO:0032541, GO:0033101, GO:0060304, GO:0072659, GO:0090158",A
IST3_YEAST,2MKC,P40565,"GO:0000245, GO:0000349, GO:0000398, GO:0000974, GO:0005686, GO:0006406, GO:0051237, GO:0070274",A
ISW1_YEAST,2Y9Y,P38144,"GO:0000182, GO:0000976, GO:0001178, GO:0003730, GO:0005634, GO:0006338, GO:0006354, GO:0006363, GO:0006369, GO:0007062, GO:0016587, GO:0030874, GO:0036436, GO:0036437, GO:0045944, GO:0046832, GO:0140750, GO:1902275, GO:1903895",A
ISWI_DROME,1OFC,Q24368,"GO:0000166, GO:0000785, GO:0005634, GO:0005667, GO:0005700, GO:0006325, GO:0006335, GO:0006338, GO:0006355, GO:0006357, GO:0007283, GO:0008094, GO:0008623, GO:0016589, GO:0016590, GO:0016887, GO:0031010, GO:0031213, GO:0031507, GO:0034728, GO:0035041, GO:0035063, GO:0035092, GO:0042752, GO:0045892, GO:0045893, GO:0045944, GO:0140297, GO:0140658, GO:0140750, GO:0140751",X
ITA1_HUMAN,1PT6,P56199,"GO:0005518, GO:0005886, GO:0005925, GO:0007160, GO:0008285, GO:0008305, GO:0009986, GO:0019211, GO:0019903, GO:0034665, GO:0098639",A
ITA1_RAT,1CK4,P18614,"GO:0001669, GO:0005102, GO:0005518, GO:0009897, GO:0042311, GO:0043204, GO:0043410, GO:0043525, GO:0048812, GO:0060326",A
ITA2B_HUMAN,1DPK,P08514,"GO:0005886, GO:0031092, GO:0042802, GO:0060090, GO:0070062, GO:0070442",A
ITA2_HUMAN,1AOX,P17301,"GO:0005518, GO:0005886, GO:0005925, GO:0006929, GO:0007155, GO:0007160, GO:0007229, GO:0007596, GO:0008305, GO:0009887, GO:0009986, GO:0031589, GO:0033627, GO:0034666, GO:0038064, GO:0038065, GO:0043395, GO:0044877, GO:0048333, GO:0098639",A
ITA4_HUMAN,3V4P,P13612,"GO:0003366, GO:0005178, GO:0005886, GO:0007159, GO:0007160, GO:0009986, GO:0015026, GO:0030183, GO:0033631, GO:0034113, GO:0034446, GO:0034668, GO:0034669, GO:0035987, GO:0043113, GO:0045906, GO:0050839, GO:0050901, GO:0090074, GO:1904646, GO:1905564, GO:2000353",A
ITAL_HUMAN,1CQP,P20701,"GO:0002291, GO:0005886, GO:0007157, GO:0007159, GO:0007160, GO:0008305, GO:0009986, GO:0030369, GO:0034687, GO:0035579, GO:0035683, GO:0043113, GO:0050839",A
ITAM_HUMAN,1BHO,P11215,"GO:0001540, GO:0005615, GO:0005886, GO:0007155, GO:0007160, GO:0008305, GO:0009986, GO:0010668, GO:0031072, GO:0032930, GO:0034688, GO:0035579, GO:0043315, GO:0044853, GO:0070821",1
ITAM_MOUSE,6RHV,P05555,"GO:0001774, GO:0001781, GO:0001846, GO:0001851, GO:0002430, GO:0002523, GO:0005634, GO:0005886, GO:0006898, GO:0006909, GO:0006911, GO:0007155, GO:0007159, GO:0008201, GO:0009897, GO:0009986, GO:0014005, GO:0016020, GO:0030593, GO:0030900, GO:0032930, GO:0034688, GO:0038024, GO:0043395, GO:0045123, GO:0045963, GO:0050798, GO:0060376, GO:0061756, GO:0090314, GO:0097242, GO:0098609, GO:0150062, GO:0150064, GO:1904151",C
ITAV_HUMAN,4UM8,P06756,"GO:0001525, GO:0001968, GO:0002020, GO:0005178, GO:0005245, GO:0005829, GO:0005886, GO:0005925, GO:0007155, GO:0007160, GO:0007229, GO:0008284, GO:0008305, GO:0009986, GO:0010745, GO:0010888, GO:0010989, GO:0015026, GO:0016477, GO:0031258, GO:0031527, GO:0031528, GO:0031589, GO:0032369, GO:0032587, GO:0033627, GO:0034113, GO:0034446, GO:0034682, GO:0034683, GO:0034684, GO:0034685, GO:0034686, GO:0035579, GO:0035867, GO:0035868, GO:0035987, GO:0038027, GO:0043277, GO:0045335, GO:0045785, GO:0046718, GO:0050748, GO:0050764, GO:0050840, GO:0050919, GO:0051057, GO:0070588, GO:1902533, GO:1990430, GO:2000536, GO:2001237",A
ITAX_HUMAN,1N3Y,P20702,"GO:0005178, GO:0005886, GO:0007155, GO:0008284, GO:0008305, GO:0009887, GO:0009986, GO:0010628, GO:0030335, GO:0030667, GO:0030971, GO:0034113, GO:0034689, GO:0038023, GO:0045766, GO:0070821, GO:0101003, GO:1905956",A
ITB1_HUMAN,3G9W,P05556,"GO:0000132, GO:0000287, GO:0001525, GO:0001726, GO:0001968, GO:0002020, GO:0003779, GO:0004895, GO:0005509, GO:0005737, GO:0005886, GO:0005925, GO:0006968, GO:0007155, GO:0007156, GO:0007159, GO:0007160, GO:0007161, GO:0007229, GO:0009986, GO:0010008, GO:0010710, GO:0010763, GO:0015026, GO:0023035, GO:0030175, GO:0030183, GO:0031589, GO:0031594, GO:0033627, GO:0033631, GO:0034113, GO:0034665, GO:0034666, GO:0034667, GO:0034668, GO:0034674, GO:0034675, GO:0034678, GO:0034679, GO:0034680, GO:0034681, GO:0034682, GO:0042383, GO:0043065, GO:0043235, GO:0043547, GO:0044877, GO:0045121, GO:0045743, GO:0045766, GO:0045906, GO:0046982, GO:0048333, GO:0048471, GO:0050839, GO:0050901, GO:0051897, GO:0090303, GO:0098639, GO:1900748, GO:1903078, GO:1990782, GO:2000811",C
ITB1_MOUSE,5XQ0,P09055,"GO:0000082, GO:0001701, GO:0001708, GO:0002042, GO:0002052, GO:0005178, GO:0005886, GO:0007160, GO:0007405, GO:0008283, GO:0008284, GO:0008354, GO:0008542, GO:0009897, GO:0009986, GO:0010761, GO:0014704, GO:0014850, GO:0016020, GO:0016477, GO:0021943, GO:0021953, GO:0031175, GO:0031594, GO:0031623, GO:0034677, GO:0034679, GO:0035024, GO:0035748, GO:0038023, GO:0042383, GO:0043197, GO:0045202, GO:0045214, GO:0045596, GO:0045665, GO:0048626, GO:0048675, GO:0048738, GO:0048813, GO:0050804, GO:0051726, GO:0051951, GO:0055007, GO:0060379, GO:0060912, GO:0071404, GO:0071711, GO:0097060, GO:0098640, GO:0098685, GO:0098978, GO:0150003, GO:0150053, GO:0150103, GO:1905806",A
ITB1_RAT,8OXZ,P49134,"GO:0001669, GO:0001894, GO:0001968, GO:0002020, GO:0003779, GO:0005102, GO:0005178, GO:0005518, GO:0005604, GO:0005911, GO:0005912, GO:0005925, GO:0006909, GO:0008277, GO:0008285, GO:0008305, GO:0009410, GO:0009986, GO:0010811, GO:0010976, GO:0014823, GO:0019900, GO:0019901, GO:0019904, GO:0030030, GO:0030032, GO:0030056, GO:0030335, GO:0031345, GO:0031667, GO:0032594, GO:0033627, GO:0034667, GO:0034679, GO:0034698, GO:0043066, GO:0043236, GO:0044877, GO:0045211, GO:0045665, GO:0045666, GO:0045807, GO:0051393, GO:0060135, GO:0070830, GO:0071260, GO:0071305, GO:0071479, GO:0071559, GO:0097368, GO:0097386, GO:0098690, GO:0098880, GO:0098978, GO:0099561, GO:0150054",Q
ITB2_HUMAN,1L3Y,P05107,"GO:0005886, GO:0007155, GO:0007159, GO:0007160, GO:0007229, GO:0009986, GO:0019901, GO:0030369, GO:0030593, GO:0031072, GO:0032930, GO:0034113, GO:0034687, GO:0034688, GO:0034689, GO:0034690, GO:0035579, GO:0035987, GO:0043113, GO:0043235, GO:0043315, GO:0044853, GO:0050730, GO:0050839, GO:0070821, GO:0101003, GO:1990266",A
ITB2L_MOUSE,2IUE,Q3UV74,GO:0030141,A
ITB3_HUMAN,1JV2,P05106,"GO:0001938, GO:0001968, GO:0002020, GO:0003756, GO:0005161, GO:0005178, GO:0005634, GO:0005654, GO:0005886, GO:0005911, GO:0005925, GO:0007155, GO:0007160, GO:0007229, GO:0007596, GO:0008305, GO:0009986, GO:0010595, GO:0010745, GO:0010888, GO:0010989, GO:0014909, GO:0015026, GO:0019899, GO:0030168, GO:0030949, GO:0031092, GO:0031258, GO:0031527, GO:0031528, GO:0031589, GO:0032369, GO:0032587, GO:0032991, GO:0033627, GO:0034113, GO:0034446, GO:0034683, GO:0035295, GO:0035866, GO:0035867, GO:0035868, GO:0038027, GO:0042060, GO:0042470, GO:0042802, GO:0043184, GO:0043235, GO:0043277, GO:0045124, GO:0046718, GO:0048333, GO:0050748, GO:0050839, GO:0050840, GO:0050919, GO:0060055, GO:0070442, GO:0070527, GO:0071062, GO:0098978, GO:0099149, GO:1900748",B
ITB3_MOUSE,5XQ1,O54890,"GO:0001954, GO:0005080, GO:0005178, GO:0005925, GO:0007044, GO:0007160, GO:0007229, GO:0009897, GO:0009986, GO:0010628, GO:0010763, GO:0016324, GO:0019899, GO:0030334, GO:0030335, GO:0032880, GO:0032956, GO:0033690, GO:0034679, GO:0035866, GO:0036120, GO:0043277, GO:0045202, GO:0045672, GO:0045780, GO:0048008, GO:0048146, GO:0048858, GO:0051611, GO:0070527, GO:0071133, GO:0072378, GO:0097060, GO:0098978, GO:1900026, GO:1901163, GO:1903053, GO:2000406",A
ITB4_HUMAN,1QG3,P16144,"GO:0001664, GO:0005730, GO:0005886, GO:0006914, GO:0007160, GO:0009611, GO:0009986, GO:0030054, GO:0030056, GO:0031252, GO:0031581, GO:0031965, GO:0035878, GO:0043235, GO:0043589, GO:0048333, GO:0048870",A
ITB4_RAT,6HYF,Q64632,"GO:0005615, GO:0005938, GO:0045211, GO:0050839, GO:0098978",A
ITB5_HUMAN,7S46,P18084,"GO:0005886, GO:0007160, GO:0007179, GO:0007229, GO:0009986, GO:0016477, GO:0034684, GO:0035987, GO:0043149, GO:0043235, GO:0045335, GO:0090136",B
ITB6_MOUSE,8FSO,Q9Z0T9,"GO:0000902, GO:0005178, GO:0006954, GO:0006955, GO:0007160, GO:0007179, GO:0009611, GO:0009615, GO:0009897, GO:0009986, GO:0010467, GO:0033627, GO:0034685, GO:0042060, GO:0043129, GO:0043588, GO:0048286, GO:0055091, GO:0060022, GO:0060348, GO:0060435, GO:0061520, GO:0070166, GO:0071479, GO:0071604",A
ITB7_HUMAN,8ZJF,P26010,"GO:0003366, GO:0005886, GO:0007155, GO:0007160, GO:0007229, GO:0009986, GO:0034113, GO:0034446, GO:0034669, GO:0034691, GO:0043113, GO:0043235, GO:0050839, GO:0050901",B
ITCH_HUMAN,2DMV,Q96J02,"GO:0004842, GO:0005654, GO:0005739, GO:0005829, GO:0005886, GO:0006511, GO:0006513, GO:0016567, GO:0019787, GO:0031410, GO:0031623, GO:0032480, GO:0032991, GO:0034450, GO:0035519, GO:0035872, GO:0039532, GO:0043021, GO:0043066, GO:0043161, GO:0043231, GO:0044389, GO:0045236, GO:0046718, GO:0050687, GO:0051865, GO:0060544, GO:0061630, GO:0070534, GO:0070936, GO:0141198, GO:1902036, GO:1990763, GO:2000646",A
ITCH_MOUSE,1YIU,Q8C863,"GO:0000209, GO:0002669, GO:0002870, GO:0005634, GO:0005737, GO:0005829, GO:0005938, GO:0006511, GO:0016020, GO:0016874, GO:0030163, GO:0031410, GO:0035739, GO:0043124, GO:0045732, GO:0046329, GO:0046642, GO:0050687, GO:0070936, GO:0090085, GO:2000562",A
ITF2_HUMAN,6OD3,P15884,"GO:0000785, GO:0000978, GO:0003677, GO:0003700, GO:0005634, GO:0008013, GO:0042802, GO:0045893, GO:0070369, GO:1990837, GO:1990907",A
ITIH1_HUMAN,6FPY,P19827,"GO:0005509, GO:0005540, GO:0030246",A
ITIH4_HUMAN,9C4F,Q14624,"GO:0004866, GO:0005576, GO:0006953, GO:0031089, GO:0034097",I
ITK_HUMAN,1SM2,Q08881,"GO:0004715, GO:0005829, GO:0006968, GO:0007165, GO:0042110",A
ITK_MOUSE,1AWJ,Q03526,"GO:0001819, GO:0001865, GO:0002250, GO:0005634, GO:0005829, GO:0005911, GO:0006468, GO:0046629, GO:0050852",A
ITLN1_HUMAN,4WMQ,Q8WWA0,"GO:0001934, GO:0005509, GO:0005576, GO:0042802, GO:0043235, GO:0046326, GO:0070207, GO:0070492",A
ITLN1_XENLA,4WMO,Q5PPM0,"GO:0005509, GO:0005576, GO:0030141, GO:0034214",A
ITM2B_HUMAN,8RNU,Q9Y287,"GO:0001540, GO:0005576, GO:0005615, GO:0005794, GO:0005886, GO:0007399, GO:0030660, GO:0031090, GO:0042985, GO:0043231",A
ITPA_HUMAN,2CAR,Q9BY32,"GO:0005654, GO:0005829, GO:0042802, GO:0043231",A
ITP_HHV11,5VYL,P10221,"GO:0019033, GO:0030430, GO:0039537, GO:0039540, GO:0039701, GO:0042802, GO:0050568",A
ITPK1_HUMAN,2ODT,Q13572,"GO:0000825, GO:0003824, GO:0005829, GO:0007165, GO:0007596, GO:0047325, GO:0052725, GO:0052726, GO:0070266",X
ITPK1_MAIZE,7TN3,Q84Y01,"GO:0000825, GO:0005524, GO:0010264, GO:0047325, GO:0048316, GO:0051717, GO:0052725, GO:0052726",A
ITPK4_ARATH,7PUP,O80568,"GO:0010264, GO:0047325, GO:0052725, GO:0052726",A
ITPR1_MOUSE,1N4K,P11881,"GO:0000902, GO:0001666, GO:0005220, GO:0005635, GO:0005637, GO:0005730, GO:0005737, GO:0005783, GO:0005789, GO:0005955, GO:0006816, GO:0007200, GO:0007207, GO:0007338, GO:0009791, GO:0014069, GO:0015278, GO:0016529, GO:0019904, GO:0032024, GO:0032469, GO:0032991, GO:0035091, GO:0042045, GO:0042803, GO:0045202, GO:0050882, GO:0051209, GO:0051289, GO:0051480, GO:0070059, GO:0070679, GO:0098685, GO:0098695, GO:1990806",A
ITPR1_RAT,3JAV,P29994,"GO:0005220, GO:0005524, GO:0005635, GO:0005789, GO:0007200, GO:0007204, GO:0010976, GO:0016020, GO:0016358, GO:0016529, GO:0019903, GO:0030425, GO:0030868, GO:0032991, GO:0036444, GO:0042802, GO:0043025, GO:0043065, GO:0043066, GO:0044325, GO:0044877, GO:0048471, GO:0051209, GO:0051289, GO:0051928, GO:0070679, GO:0071320, GO:0071456, GO:0097060, GO:0097421, GO:0098793, GO:0098794, GO:0098982, GO:2000347",A
ITPR3_HUMAN,6DQJ,Q14573,"GO:0005220, GO:0005509, GO:0005524, GO:0005789, GO:0005886, GO:0008270, GO:0015278, GO:0030168, GO:0031095, GO:0043235, GO:0050909, GO:0051209, GO:0051289, GO:0051592, GO:0055074, GO:0070679",A
ITPR3_MOUSE,3JRR,P70227,"GO:0005220, GO:0005634, GO:0005654, GO:0005730, GO:0005737, GO:0006816, GO:0007613, GO:0015278, GO:0035091, GO:0050913, GO:0050916, GO:0050917, GO:0060291, GO:0098554",A
ITR1_MOMCO,6CDX,P82408,"GO:0004867, GO:1900004",A
ITR2C_FAGES,2LQX,P86794,"GO:0004867, GO:0010466",A
ITR2_MOMCO,1HA9,P82409,"GO:0004867, GO:1900004",A
ITR3_MOMCO,2LJS,P82410,"GO:0004867, GO:1900004",A
ITSN1_HUMAN,2KGR,Q15811,"GO:0005085, GO:0005635, GO:0005737, GO:0005829, GO:0005886, GO:0005905, GO:0008104, GO:0051056, GO:0060090, GO:0070064",A
ITSN1_MOUSE,3JV3,Q9Z0R4,"GO:0005829, GO:0005905, GO:0006897, GO:0007264, GO:0007267, GO:0019209, GO:0030027, GO:0030139, GO:0043524, GO:0044305, GO:0048488, GO:0051402, GO:0051897, GO:0098833",A
ITSN2_HUMAN,1J3T,Q9NZM3,"GO:0005813, GO:0005829, GO:1903861",A
IUNH_LEIMA,1EZR,P83851,"GO:0005509, GO:0008477, GO:0043101, GO:0045437, GO:0047724",A
IVD_HUMAN,1IVH,P26440,"GO:0005654, GO:0005739, GO:0006552, GO:0008470, GO:0009083, GO:0033539",A
IVY_ECOLI,1XS0,P0AD59,"GO:0030288, GO:0042803, GO:0060241, GO:0061077",A
IWS1_HUMAN,6ZV1,Q96ST2,"GO:0005634, GO:0005654, GO:0006338, GO:0010793, GO:0050684, GO:0140673",A
IWS1_YEAST,3NFQ,Q06505,"GO:0000993, GO:0003682, GO:0005665, GO:0006334, GO:0006357, GO:0016973, GO:0034243, GO:0061629",A
IXTPA_ECOLI,1K7K,P52061,"GO:0000287, GO:0005829, GO:0009143, GO:0009146, GO:0035870, GO:0036220, GO:0036222, GO:0042803, GO:0047429",A
IXTPA_METJA,1B78,Q57679,"GO:0009146, GO:0035870, GO:0036220, GO:0036222",A
IYD1_HUMAN,4TTB,Q6PHW0,"GO:0005654, GO:0005886, GO:0006570, GO:0010181, GO:0030659, GO:0042403, GO:0140616",A
IYD1_MOUSE,3GB5,Q9DCX8,"GO:0006570, GO:0010181, GO:0140616",A
IYD_HALH1,5KO7,F4KU78,"GO:0010181, GO:0140616",A
IYD_THENN,6PZ0,B9K712,"GO:0006570, GO:0010181, GO:0072545, GO:0140616",A
IZUM1_HUMAN,5F4E,Q8IYV9,"GO:0005102, GO:0005886, GO:0007155, GO:0007342, GO:0016020, GO:0035036, GO:0042802",A
IZUM1_MOUSE,5B5K,Q9D9J7,"GO:0000768, GO:0001669, GO:0002080, GO:0005102, GO:0005789, GO:0005886, GO:0007155, GO:0007342, GO:0016020, GO:0035036, GO:0042803, GO:0048018, GO:0086080, GO:0098635",A
J7FTI7_HORVU,2MPU,J7FTI7,GO:0003677,A
J7H5L9_9VIRU,4N21,J7H5L9,GO:0042802,A
J7QA90_ECOLX,6AJM,J7QA90,GO:0097351,C
J9PBR9_LAMGL,4EFV,J9PBR9,GO:0042802,A
J9W473_CRYNH,7LPO,,GO:0050295,
JAC1_ARATH,3AG7,Q9C9Q4,"GO:0005737, GO:0007015, GO:0009903, GO:0009904, GO:0071483, GO:0080183",A
JAC1_YEAST,3UO2,P53193,"GO:0001671, GO:0005739, GO:0005743, GO:0005758, GO:0005759, GO:0006879, GO:0009060, GO:0016226, GO:0044571, GO:0044572, GO:0051087",A
JADE1_HUMAN,8GDX,Q6IE81,"GO:0000123, GO:0001558, GO:0003713, GO:0005634, GO:0005654, GO:0005737, GO:0005813, GO:0005829, GO:0005886, GO:0006275, GO:0006355, GO:0016607, GO:0036064, GO:0051726, GO:0090090, GO:2000134, GO:2000278",A
JAG1_HUMAN,2KB9,P78504,"GO:0001953, GO:0002456, GO:0003184, GO:0005112, GO:0005543, GO:0005886, GO:0007219, GO:0016020, GO:0022408, GO:0030336, GO:0045944, GO:0060090, GO:0061156, GO:0097150, GO:2000737",A
JAG1_RAT,5UK5,Q63722,"GO:0005112, GO:0007219, GO:0010628, GO:0031100, GO:0042060, GO:0042127, GO:0042491, GO:0045596, GO:0048018, GO:0062043",B
JAG2_HUMAN,5MW5,Q9Y219,"GO:0005112, GO:0007283, GO:0008083, GO:0030154, GO:0030217, GO:0042127, GO:0045061",A
JAGN1_HUMAN,6WVD,Q8N5M9,"GO:0005783, GO:0006887, GO:0016192, GO:0030223, GO:0038158",A
JAK1_HUMAN,3EYG,P23458,"GO:0004713, GO:0004715, GO:0005634, GO:0005737, GO:0005768, GO:0005886, GO:0006468, GO:0007259, GO:0009898, GO:0019903, GO:0031234, GO:0031625, GO:0034112, GO:0035723, GO:0035771, GO:0038110, GO:0038111, GO:0038113, GO:0038154, GO:0043235, GO:0046677, GO:0060333, GO:0060337, GO:0070102, GO:0072540, GO:0140105, GO:0150105, GO:1900182, GO:1903672",A
JAK1_MOUSE,7T6F,P52332,"GO:0004713, GO:0005131, GO:0005829, GO:0007167, GO:0019221, GO:0035556, GO:0036016, GO:0098761, GO:1904894",A
JAK2_HUMAN,2B7A,O60674,"GO:0000785, GO:0004713, GO:0004715, GO:0005102, GO:0005634, GO:0005654, GO:0005737, GO:0005886, GO:0005925, GO:0007155, GO:0007259, GO:0007498, GO:0009898, GO:0010572, GO:0010811, GO:0019221, GO:0019897, GO:0019901, GO:0020037, GO:0030526, GO:0031234, GO:0031904, GO:0032729, GO:0032819, GO:0033209, GO:0034612, GO:0035401, GO:0035722, GO:0038043, GO:0038065, GO:0038155, GO:0038156, GO:0038157, GO:0038162, GO:0038163, GO:0042022, GO:0042102, GO:0042169, GO:0042802, GO:0043687, GO:0046427, GO:0046677, GO:0050727, GO:0051142, GO:0060333, GO:0060391, GO:0060396, GO:0060397, GO:0070102, GO:0070665, GO:0070671, GO:0070757, GO:0072536, GO:0120186, GO:1901731",A
JAK2_MOUSE,2HDX,Q62120,"GO:0001774, GO:0004713, GO:0004715, GO:0005143, GO:0005634, GO:0005737, GO:0005829, GO:0005901, GO:0006366, GO:0007165, GO:0007167, GO:0007259, GO:0008285, GO:0019221, GO:0030099, GO:0030154, GO:0030218, GO:0030546, GO:0031663, GO:0032731, GO:0032760, GO:0034050, GO:0035166, GO:0035556, GO:0036016, GO:0042102, GO:0042531, GO:0042976, GO:0043066, GO:0045121, GO:0045348, GO:0045944, GO:0046777, GO:0051897, GO:0060397, GO:0060399, GO:0061180, GO:0071222, GO:0071549, GO:0097191, GO:0120162, GO:0140546, GO:1900016, GO:2001235",G
